Farbe,Anzahl
"(0, 0, 0)",443
"(0, 0, 2)",87
"(0, 0, 4)",21
"(0, 0, 5)",5
"(0, 0, 7)",3
"(0, 0, 9)",7
"(0, 1, 0)",212
"(0, 1, 3)",12
"(0, 1, 5)",9
"(0, 2, 0)",50
"(0, 2, 1)",42
"(0, 2, 5)",2
"(0, 3, 0)",6
"(0, 3, 4)",1
"(0, 3, 6)",1
"(0, 4, 0)",4
"(0, 4, 3)",1
"(0, 4, 5)",1
"(0, 4, 7)",1
"(0, 5, 0)",2
"(0, 5, 1)",2
"(1, 0, 0)",546
"(1, 0, 2)",70
"(1, 0, 4)",14
"(1, 0, 5)",20
"(1, 0, 6)",3
"(1, 0, 7)",3
"(1, 0, 8)",8
"(1, 0, 10)",11
"(1, 0, 11)",1
"(1, 0, 12)",1
"(1, 1, 0)",199
"(1, 1, 1)",216
"(1, 1, 3)",88
"(1, 1, 11)",1
"(1, 2, 0)",87
"(1, 2, 4)",25
"(1, 2, 6)",10
"(1, 2, 7)",1
"(1, 3, 0)",43
"(1, 3, 2)",69
"(1, 4, 0)",4
"(1, 5, 8)",1
"(1, 6, 2)",2
"(2, 0, 1)",172
"(2, 0, 3)",40
"(2, 0, 5)",14
"(2, 0, 6)",4
"(2, 0, 8)",5
"(2, 0, 11)",13
"(2, 0, 13)",4
"(2, 1, 0)",345
"(2, 1, 6)",21
"(2, 1, 7)",4
"(2, 1, 9)",9
"(2, 1, 15)",1
"(2, 2, 0)",291
"(2, 2, 2)",311
"(2, 2, 4)",110
"(2, 3, 0)",123
"(2, 3, 5)",17
"(2, 3, 7)",6
"(2, 4, 0)",20
"(2, 4, 1)",33
"(2, 4, 3)",63
"(2, 5, 0)",9
"(2, 6, 5)",6
"(2, 7, 1)",2
"(2, 7, 3)",4
"(2, 7, 10)",1
"(3, 0, 0)",230
"(3, 0, 2)",13
"(3, 0, 4)",5
"(3, 0, 5)",2
"(3, 0, 7)",11
"(3, 0, 9)",4
"(3, 0, 13)",3
"(3, 0, 14)",2
"(3, 1, 0)",1
"(3, 1, 2)",195
"(3, 1, 4)",68
"(3, 1, 6)",20
"(3, 1, 12)",15
"(3, 1, 14)",1
"(3, 2, 0)",383
"(3, 2, 7)",26
"(3, 2, 8)",5
"(3, 2, 10)",8
"(3, 2, 16)",1
"(3, 3, 0)",16
"(3, 3, 1)",282
"(3, 3, 3)",322
"(3, 3, 5)",136
"(3, 3, 11)",1
"(3, 4, 0)",114
"(3, 4, 6)",17
"(3, 4, 8)",11
"(3, 4, 9)",1
"(3, 5, 0)",14
"(3, 5, 2)",26
"(3, 5, 4)",53
"(3, 6, 0)",11
"(3, 7, 6)",1
"(3, 7, 10)",1
"(3, 8, 2)",2
"(3, 8, 4)",3
"(3, 8, 11)",3
"(4, 0, 0)",483
"(4, 0, 1)",21
"(4, 0, 2)",3
"(4, 0, 3)",6
"(4, 0, 5)",8
"(4, 0, 6)",4
"(4, 0, 8)",2
"(4, 0, 10)",1
"(4, 0, 12)",1
"(4, 0, 14)",3
"(4, 0, 15)",1
"(4, 1, 0)",44
"(4, 1, 8)",14
"(4, 1, 10)",2
"(4, 1, 12)",3
"(4, 2, 0)",2
"(4, 2, 3)",235
"(4, 2, 5)",76
"(4, 2, 7)",20
"(4, 2, 13)",18
"(4, 2, 15)",3
"(4, 2, 16)",2
"(4, 3, 0)",164
"(4, 3, 1)",188
"(4, 3, 8)",19
"(4, 3, 9)",5
"(4, 3, 11)",6
"(4, 3, 17)",2
"(4, 4, 0)",5
"(4, 4, 2)",322
"(4, 4, 4)",354
"(4, 4, 6)",155
"(4, 4, 12)",2
"(4, 5, 0)",115
"(4, 5, 7)",24
"(4, 5, 9)",5
"(4, 6, 0)",4
"(4, 6, 1)",17
"(4, 6, 3)",23
"(4, 6, 5)",55
"(4, 7, 0)",11
"(4, 8, 7)",4
"(4, 8, 11)",2
"(4, 9, 2)",1
"(4, 9, 5)",2
"(4, 9, 12)",1
"(5, 0, 0)",348
"(5, 0, 1)",15
"(5, 0, 4)",3
"(5, 0, 5)",2
"(5, 0, 6)",4
"(5, 0, 7)",1
"(5, 0, 11)",2
"(5, 1, 0)",182
"(5, 1, 2)",26
"(5, 1, 15)",2
"(5, 1, 16)",3
"(5, 2, 0)",72
"(5, 2, 9)",8
"(5, 2, 11)",5
"(5, 2, 13)",2
"(5, 3, 0)",2
"(5, 3, 4)",217
"(5, 3, 6)",70
"(5, 3, 8)",13
"(5, 3, 14)",17
"(5, 3, 16)",12
"(5, 3, 17)",7
"(5, 4, 0)",160
"(5, 4, 2)",172
"(5, 4, 9)",14
"(5, 4, 10)",7
"(5, 4, 12)",7
"(5, 4, 18)",2
"(5, 5, 0)",14
"(5, 5, 3)",355
"(5, 5, 5)",358
"(5, 5, 7)",157
"(5, 5, 15)",2
"(5, 5, 17)",2
"(5, 6, 0)",49
"(5, 6, 1)",55
"(5, 6, 8)",19
"(5, 6, 10)",6
"(5, 6, 11)",2
"(5, 7, 0)",4
"(5, 7, 2)",16
"(5, 7, 4)",41
"(5, 7, 6)",60
